embedding_type,k,accuracy,correct,total,time_sec
task_description_embedding,5,0.7665753424657534,8394,10950,6.0696210861206055
prompt_embedding,5,0.7706849315068494,8439,10950,5.906287908554077
task_description_embedding,10,0.8043835616438356,8808,10950,6.370913028717041
prompt_embedding,10,0.806027397260274,8826,10950,5.808916807174683
task_description_embedding,40,0.8461187214611872,9265,10950,6.236276149749756
prompt_embedding,40,0.8476712328767123,9282,10950,6.155628204345703
