model_name,k,accuracy,correct,total,time_sec
mistralai/mistral-7b-chat,5,0.7732420091324201,8467,10950,6.925405025482178
mistralai/mistral-7b-chat,10,0.8084018264840183,8852,10950,7.0191051959991455
mistralai/mistral-7b-chat,40,0.8491324200913242,9298,10950,6.996789932250977
WizardLM/WizardLM-13B-V1.2,5,0.771689497716895,8450,10950,6.410096168518066
WizardLM/WizardLM-13B-V1.2,10,0.8071232876712329,8838,10950,6.521222829818726
WizardLM/WizardLM-13B-V1.2,40,0.8493150684931506,9300,10950,7.1229119300842285
mistralai/mixtral-8x7b-chat,5,0.7783561643835616,8523,10950,6.6962950229644775
mistralai/mixtral-8x7b-chat,10,0.8092237442922374,8861,10950,6.417078018188477
mistralai/mixtral-8x7b-chat,40,0.8480365296803652,9286,10950,6.767391920089722
zero-one-ai/Yi-34B-Chat,5,0.7880365296803653,8629,10950,6.822889089584351
zero-one-ai/Yi-34B-Chat,10,0.8218264840182649,8999,10950,6.858876943588257
zero-one-ai/Yi-34B-Chat,40,0.854703196347032,9359,10950,7.2596940994262695
claude-instant-v1,5,0.7725114155251142,8459,10950,6.7436089515686035
claude-instant-v1,10,0.8111415525114155,8882,10950,6.797600984573364
claude-instant-v1,40,0.8489497716894977,9296,10950,7.315449953079224
gpt-3.5-turbo-1106,5,0.7789041095890411,8529,10950,6.797906875610352
gpt-3.5-turbo-1106,10,0.8119634703196347,8891,10950,6.739298105239868
gpt-3.5-turbo-1106,40,0.8481278538812785,9287,10950,7.512450695037842
gpt-4-1106-preview,5,0.7894063926940639,8644,10950,6.937746047973633
gpt-4-1106-preview,10,0.8180821917808219,8958,10950,7.0910680294036865
gpt-4-1106-preview,40,0.854337899543379,9355,10950,7.1946728229522705
meta/llama-2-70b-chat,5,0.7701369863013698,8433,10950,6.427495956420898
meta/llama-2-70b-chat,10,0.8129680365296804,8902,10950,6.5228800773620605
meta/llama-2-70b-chat,40,0.8472146118721461,9277,10950,7.270434141159058
meta/code-llama-instruct-34b-chat,5,0.7751598173515982,8488,10950,6.938716173171997
meta/code-llama-instruct-34b-chat,10,0.8126027397260274,8898,10950,6.904732704162598
meta/code-llama-instruct-34b-chat,40,0.8442922374429224,9245,10950,7.717621088027954
claude-v1,5,0.7766210045662101,8504,10950,7.145198106765747
claude-v1,10,0.8114155251141553,8885,10950,6.942744731903076
claude-v1,40,0.8475799086757991,9281,10950,7.606910943984985
claude-v2,5,0.7798173515981736,8539,10950,7.022982835769653
claude-v2,10,0.8126027397260274,8898,10950,7.044121742248535
claude-v2,40,0.8491324200913242,9298,10950,7.622416019439697
